DateTime, Latitude, Longitude, Temp, Humidity, Pressure, Yaw, Pitch, Roll, MagX, MagY, MagZ, AccX, AccY, AccZ, GyroX, GyroY, GyroZ, State
42:25.1,32.90812209,-80.10049604,31.988,35.631,1018.955,230.547862,0.540699,359.580914,1.585418,20.431091,80.963554,0.351062,-0.175854,1.339602,-0.733298,1.051628,0.066316,go_up
42:25.3,32.90812209,-80.10049604,32.183,35.943,1018.953,224.74033,0.568696,355.113033,-1.261667,19.435093,82.108528,0.205594,0.023551,0.854401,-0.068982,0.148769,-0.252556,go_up
42:25.5,32.90811453,-80.10049604,32.148,35.734,1018.948,220.415686,358.529912,353.285361,-4.095156,18.238291,83.535812,0.124375,0.029378,0.853183,0.193079,-0.122455,-0.538746,go_up
42:25.6,32.90811453,-80.10049604,32.148,35.631,1018.941,214.736315,357.250683,355.069953,-5.964751,18.183863,84.357315,0.167045,0.210987,1.008661,-0.373193,0.217797,0.011949,go_up
42:28.1,32.90810129,-80.10048733,32.29,35.916,1018.972,248.740829,53.488161,274.527778,-12.937142,18.231766,84.194092,0.064733,-0.245327,1.293543,0.039447,-0.324957,0.016836,go_up
42:28.2,32.90810129,-80.10048733,32.29,35.647,1018.967,252.980635,50.60856,282.384818,-18.704494,17.984295,83.683907,0.006546,0.035448,0.86488,0.195218,-0.606566,-0.184139,go_up
42:28.4,32.90809372,-80.10048733,32.059,34.445,1018.975,253.244191,43.022002,291.505572,-20.106869,18.173176,84.555878,0.064733,0.136692,0.822721,-0.096351,-0.20388,-0.036901,go_up
42:28.6,32.90809372,-80.10048733,32.059,35.856,1018.984,246.063572,34.066812,299.167494,-20.179609,18.247431,84.210236,0.275903,0.220941,1.008905,-0.071305,0.872159,-0.244289,go_up
42:28.8,32.90809372,-80.10048733,32.112,35.531,1018.996,236.032026,28.5184,299.632787,-22.273319,19.700907,82.611389,0.070309,0.096146,1.027913,-0.013273,0.291226,0.31679,go_up
42:28.9,32.90809372,-80.10048733,32.166,35.81,1018.998,235.529966,26.12114,306.30582,-24.249943,20.565632,81.543213,0.069582,0.146404,0.675528,0.094757,-0.175228,-0.037181,go_up
42:29.1,32.90809372,-80.10048733,32.325,35.621,1018.991,235.066469,20.117532,311.809252,-23.619219,21.118103,81.885139,0.103524,0.224098,0.991846,0.110029,-0.329166,-0.030462,go_up
42:29.3,32.90809372,-80.10048733,32.13,35.694,1018.995,234.905441,13.621307,318.008147,-22.108889,20.712687,83.261314,0.072734,0.117512,0.840754,-0.046775,0.050238,0.074554,go_up
42:29.4,32.90809289,-80.10047679,32.219,35.587,1018.994,234.684607,9.37975,321.194854,-20.431635,20.124485,85.089455,0.127284,0.132322,0.667973,0.052913,0.005008,0.151843,go_up
42:29.6,32.90809289,-80.10047679,31.988,35.654,1018.993,233.4346,4.967849,324.282099,-18.981745,19.681301,86.032967,0.153953,0.144219,0.96772,0.148925,-0.054663,-0.106893,go_up
42:29.8,32.90809289,-80.10047679,32.13,36.086,1019,230.427732,6.878555,326.167276,-17.624819,19.759188,86.319962,0.25966,-0.115788,1.238467,0.859056,0.250769,-0.376284,go_up
42:29.9,32.90809289,-80.10047679,32.166,35.929,1018.987,229.339806,4.844393,330.207688,-17.17621,20.519659,85.964592,0.184501,0.115084,0.620696,0.134472,0.000155,0.096869,go_up
